CIK,Ticker_Symbol,Company_Name,Sector,Data_Date,Market_Capitalization,Total_Assets,Total_Assets_PY1,Total_Assets_PY2,Total_Liabilities,Net_Income_Before_Extra_Items,Cash_Flow_From_Operations,Total_Long_Term_Debt,Total_Long_Term_Debt_PY1,Current_Assets,Current_Assets_PY1,Current_Liabilities,Current_Liabilities_PY1,Common_Shares_Outstanding,Common_Shares_Outstanding_PY1,Total_Sales,Total_Sales_PY1,Cost_Of_Goods_Sold,Cost_Of_Goods_Sold_PY1,Size_Tercile,BM_Ratio,BM_Quintile,ROA,F_ROA,CFO,F_CFO,CROA,F_CROA,ACCRUAL,F_ACCRUAL,CLEVER,F_CLEVER,CLIQUID,F_CLIQUID,EQ_OFFER,F_EQ_OFFER,CMARGIN,F_CMARGIN,CTURN,F_CTURN,F_SCORE
0000001750,AIR,AAR CORP,Capital Goods,2011-05-31,1049.8206,1703.727,1501.0420000000001,1377.511,868.438,70.86,108.598,329.80199999999996,336.191,913.985,863.429,416.01,325.55,39.781,39.484,1775.7820000000002,1352.151,1408.0710000000001,1065.902,Small,0.7956492756952951,High,0.04720720672706026,1,0.0723484086387989,1,0.01480964329562487,1,-0.025141201911738645,1,-0.0277638170206585,1,-0.45518973563832477,0,0.29699999999999704,0,-0.004629089894354066,0,0.2014428695045407,1,6
0000001750,AIR,AAR CORP,Capital Goods,2012-05-31,485.2897,2195.653,1703.727,1501.0420000000001,1329.631,65.178,94.21700000000001,669.4889999999999,329.80199999999996,1063.272,913.985,473.226,416.01,40.273,39.781,2074.498,1775.7820000000002,1662.408,1408.0710000000001,Small,1.7845464265983797,Very High,0.038256129062930855,1,0.05530052643410594,1,-0.008951077664129406,0,-0.017044397371175087,1,0.1375627666811021,0,0.04983228095505243,1,0.49200000000000443,0,-0.008424251097357421,0,0.03459062757919473,1,5
0000001750,AIR,AAR CORP,Capital Goods,2013-05-31,790.0029,2136.9,2195.653,1703.727,1217.4,53.0,162.9,622.2,669.4889999999999,1033.7,1063.272,389.0,473.226,39.382,40.273,2167.1,2074.498,1714.5,1662.408,Small,1.1639197780160049,Very High,0.024138604779534837,1,0.07419205129407971,1,-0.014117524283396018,0,-0.05005344651454488,1,-0.05616132865111839,1,0.4104676834083212,1,-0.8910000000000053,1,0.010204889336395101,1,-0.23062781249813147,0,7
0000001750,AIR,AAR CORP,Capital Goods,2014-05-31,961.308,2199.5,2136.9,2195.653,1198.8,71.4,139.8,564.3,622.2,1116.9,1033.7,402.1,389.0,39.56,39.382,2035.0,2167.1,1581.4,1714.5,Small,1.0409775014875566,Very High,0.03341288782816229,1,0.0654218728064018,1,0.009274283048627454,1,-0.03200898497823951,1,-0.0269589841815297,1,0.12034076880439404,1,0.17800000000000438,0,0.014048725314472155,1,-0.034681568394766216,0,7
0000001750,AIR,AAR CORP,Capital Goods,2015-05-31,1046.3954,1515.0,2199.5,2136.9,669.9,-54.8,-43.0,85.0,564.3,954.1,1116.9,412.0,402.1,35.423,39.56,1594.3,2035.0,1342.7,1581.4,Small,0.807629697148898,High,-0.02491475335303478,0,-0.01954989770402364,0,-0.05832764118119707,0,-0.005364855649011138,1,-0.21449537806407873,1,-0.461890547924368,0,-4.1370000000000005,1,-0.06508705691544556,0,-0.22746754382882683,0,3
0000001750,AIR,AAR CORP,Capital Goods,2016-05-31,842.5112,1442.1,1515.0,2199.5,576.3,40.0,32.1,136.1,85.0,873.1,954.1,329.0,412.0,34.515,35.423,1662.6,1594.3,1354.9,1342.7,Small,1.027642125113589,Very High,0.026402640264026403,1,0.02118811881188119,1,0.05131739361706118,1,0.005214521452145213,0,0.046283052842528406,0,0.3380226930681385,1,-0.9080000000000013,1,0.027259368658309413,1,0.37257918653879474,1,7
0000001750,AIR,AAR CORP,Capital Goods,2017-05-31,1200.3288,1504.1,1442.1,1515.0,589.9,49.7,21.8,155.3,136.1,888.5,873.1,335.1,329.0,34.354,34.515,1767.6,1662.6,1422.7,1354.9,Small,0.7616246481797321,High,0.03446362942930449,1,0.015116843492129535,1,0.008060989165278087,1,0.019346785937174954,0,0.013374292685908576,0,-0.0023520629417888017,0,-0.16100000000000136,1,0.010051756428251152,1,0.12828676002611727,1,6
0000001750,AIR,AAR CORP,Capital Goods,2018-05-31,1551.4579999999999,1524.7,1504.1,1442.1,588.4,73.1,64.3,177.2,155.3,942.7,888.5,333.3,335.1,34.716,34.354,1748.3,1767.6,1413.2,1422.7,Medium,0.6034968397468705,High,0.04860049198856459,1,0.04274981716641181,1,0.014136862559260097,1,0.005850674822152777,0,0.01158610106088824,0,0.17693550912835265,1,0.3620000000000019,0,-0.0034514212150899004,0,-0.06335627628563478,0,4
0000001750,AIR,AAR CORP,Capital Goods,2019-05-31,1046.7709,1517.2,1524.7,1504.1,611.3,83.7,67.4,141.7,177.2,952.5,942.7,357.5,333.3,34.788000000000004,34.716,2051.8,1748.3,1679.5,1413.2,Small,0.8654233700994173,Very High,0.05489604512363088,1,0.0442054174591723,1,0.006295553135066294,1,0.01069062766445858,0,-0.023844581177690338,1,-0.16404717394816437,0,0.07200000000000273,0,-0.010221476089813664,0,0.1833511259512799,1,5
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2011-12-31,88302.4112,60276.893,59462.265999999996,52416.623,35750.748,4714.4490000000005,8970.077,12039.822,12523.517,23768.773999999998,22317.529,15480.228000000001,17262.433999999997,1570.379,1546.984,38851.259,35166.721,12177.686000000002,11382.886999999999,Large,0.2777517019829691,Low,0.07928471814377207,1,0.15085326549782008,1,-0.008724995873859331,0,-0.07156854735404801,1,-0.022775492560185462,1,0.24258999741587717,1,23.394999999999982,0,0.01023969700531302,1,-0.017531098042841586,0,6
0000001800,ABT,ABBOTT LABORATORIES,Health Care,2012-12-31,103271.6885,67234.944,60276.893,59462.265999999996,40421.712,5917.0,9314.401,18085.302,12039.822,31322.583,23768.773999999998,13280.176000000001,15480.228000000001,1576.6670000000001,1570.379,39873.91,38851.259,12009.511,12177.686000000002,Large,0.259637780590757,Low,0.09816365286113868,1,0.15452689308322512,1,0.01887893471736661,1,-0.05636324022208644,1,0.08256384871665687,0,0.8231690774713201,1,6.288000000000238,0,0.012256601090338326,1,0.008135666528788055,1,7
